Descrição do serviço,ID do serviço,Descrição da SKU,Código SKU,Quantidade de uso,Unidade de uso,Custo (R$),Programas de economia (R$),Outras economias (R$),Subtotal não arredondado (R$),Subtotal (R$),Mudança percentual no subtotal em comparação ao período anterior
Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,11.145,count,"45,50","0,00","0,00","45,503278","45,50",Novo
App Engine,F17B-412E-CB64,Cloud Firestore Read Ops,FF6D-2156-62C2,14.211.321,count,"44,76","0,00","0,00","44,761251","44,76",8345%
App Engine,F17B-412E-CB64,Cloud Firestore Internet Data Transfer Out from the Americas to the Americas,32AE-2ECD-3D23,"25,75",gibibyte,"10,73","0,00","0,00","10,731379","10,73",Novo
Cloud Storage,95FF-2EF5-5EA1,Regional Standard Class B Operations,7870-010B-2763,1.934.920,count,"4,28","0,00","0,00","4,280457","4,28",2753%
Artifact Registry,149C-F9EC-3994,Artifact Registry Storage,8502-299A-ABAF,"0,7",gibibyte month,"0,11","0,00","0,00","0,112025","0,11",Novo
Cloud Storage,95FF-2EF5-5EA1,Standard Storage Sao Paulo,6B9B-6AB4-AC59,0,gibibyte month,"0,00","0,00","0,00","0,000790","0,00",0%
Cloud Logging,5490-F7B7-8DF6,Log Storage cost,143F-A1B0-E0BE,"0,15",gibibyte,"0,00","0,00","0,00","0,000000","0,00",0%
Cloud Storage,95FF-2EF5-5EA1,Download APAC,1F8B-71B0-3D1B,"0,06",gibibyte,"0,00","0,00","0,00","0,000000","0,00",Novo
Cloud Storage,95FF-2EF5-5EA1,Download Worldwide Destinations (excluding Asia & Australia),22EB-AAE8-FBCD,"95,75",gibibyte,"0,00","0,00","0,00","0,000000","0,00",0%
Directions API,B7D9-FDCB-15D8,Directions,28A8-3EB4-4595,219,count,"0,00","0,00","0,00","0,000000","0,00",Novo
Cloud Run Functions,29E7-DA93-CA13,Cloud Run functions (1st Gen) Memory Tier 2 (Request-based billing),4087-EEAC-2EA6,"27.070,06",gibibyte second,"0,54","0,00","- 0,54","0,000000","0,00",0%
Places API,213C-9623-1402,Find Place - ID only,44A2-D839-A3AC,160,count,"0,00","0,00","0,00","0,000000","0,00",Novo
App Engine,F17B-412E-CB64,Cloud Firestore Entity Writes,4BFF-324E-4B50,165.295,count,"0,00","0,00","0,00","0,000000","0,00",0%
Cloud Storage,95FF-2EF5-5EA1,Regional Standard Class A Operations,4DBF-185F-A415,3,count,"0,00","0,00","0,00","0,000000","0,00",0%
Artifact Registry,149C-F9EC-3994,Artifact Registry Network Intra Region Egress,546B-E8F2-6FF5,"0,33",gibibyte,"0,00","0,00","0,00","0,000000","0,00",0%
App Engine,F17B-412E-CB64,Cloud Firestore Storage,5C80-18C6-21C5,"0,12",gibibyte month,"0,00","0,00","0,00","0,000000","0,00",0%
App Engine,F17B-412E-CB64,Cloud Firestore Internet Data Transfer Out from the Americas to Europe,5FC8-D741-D8AA,"0,06",gibibyte,"0,00","0,00","0,00","0,000000","0,00",0%
App Engine,F17B-412E-CB64,Cloud Firestore Small Ops,6949-BBE8-AD90,232,count,"0,00","0,00","0,00","0,000000","0,00",0%
Firebase Hosting,2662-232A-AC11,Storage,6B36-F770-533F,"0,77",gibibyte month,"0,00","0,00","0,00","0,000000","0,00",0%
Maps API,1934-AA85-20F9,Maps SDK,6DE1-4D9C-5B67,3,count,"0,00","0,00","0,00","0,000000","0,00",Novo
Cloud Run Functions,29E7-DA93-CA13,Cloud Run Functions (1st Gen) Invocations,8E10-82EB-6917,37.404,count,"0,00","0,00","0,00","0,000000","0,00",0%
Cloud Build,8B5D-EF7D-EB12,Build time e2-standard-2,A464-9020-6404,"6,6",minute,"0,00","0,00","0,00","0,000000","0,00",0%
Cloud Scheduler,1F14-4801-0E16,Jobs,A5D6-43A2-28A7,77,count,"0,00","0,00","0,00","0,000000","0,00",0%
Geocoding API,0AC2-4B25-C429,Geocoding,BAC8-4E68-E261,219,count,"0,00","0,00","0,00","0,000000","0,00",Novo
Cloud Run Functions,29E7-DA93-CA13,Cloud Run functions (1st Gen) CPU Tier 2 (Request-based billing),C3E5-5E41-F455,"43.312,06",second,"3,44","0,00","- 3,44","0,000000","0,00",0%
App Engine,F17B-412E-CB64,Cloud Firestore Entity Deletes,E2D4-11D8-16C0,12.393,count,"0,00","0,00","0,00","0,000000","0,00",0%
Cloud Storage,95FF-2EF5-5EA1,Standard Storage US Regional,E5F0-6A5D-7BAD,"0,32",gibibyte month,"0,00","0,00","0,00","0,000000","0,00",0%
,,,,,,,,Subtotal,"105,389180","105,39"
,,,,,,,,Tributo,"0,000000","0,00"
,,,,,,,,Total,"105,389180","105,39"
